DATE-TIME,MW
"Friday, January 01, 2021",204.89
"Friday, January 01, 2021",191.17
"Friday, January 01, 2021",182.21
"Friday, January 01, 2021",171.64
"Friday, January 01, 2021",168.28
"Friday, January 01, 2021",179.41
"Friday, January 01, 2021",197.96
"Friday, January 01, 2021",163.24
"Friday, January 01, 2021",158.27
"Friday, January 01, 2021",157.01
"Friday, January 01, 2021",164.15
"Friday, January 01, 2021",164.99
"Friday, January 01, 2021",166.74
"Friday, January 01, 2021",175.07
"Friday, January 01, 2021",167.65
"Friday, January 01, 2021",166.74
"Friday, January 01, 2021",173.18
"Friday, January 01, 2021",173.67
"Friday, January 01, 2021",237.16
"Friday, January 01, 2021",232.33
"Friday, January 01, 2021",227.01
"Friday, January 01, 2021",224.07
"Friday, January 01, 2021",218.05
"Friday, January 01, 2021",209.16
"Saturday, January 02, 2021",198.59
"Saturday, January 02, 2021",186.13
"Saturday, January 02, 2021",173.88
"Saturday, January 02, 2021",164.08
"Saturday, January 02, 2021",160.79
"Saturday, January 02, 2021",169.47
"Saturday, January 02, 2021",190.54
"Saturday, January 02, 2021",155.26
"Saturday, January 02, 2021",153.09
"Saturday, January 02, 2021",159.18
"Saturday, January 02, 2021",163.24
"Saturday, January 02, 2021",166.39
"Saturday, January 02, 2021",166.32
"Saturday, January 02, 2021",172.76
"Saturday, January 02, 2021",169.19
"Saturday, January 02, 2021",166.6
"Saturday, January 02, 2021",173.88
"Saturday, January 02, 2021",168.63
"Saturday, January 02, 2021",232.96
"Saturday, January 02, 2021",228.55
"Saturday, January 02, 2021",224.14
"Saturday, January 02, 2021",219.87
"Saturday, January 02, 2021",213.71
"Saturday, January 02, 2021",204.89
"Sunday, January 03, 2021",188.37
"Sunday, January 03, 2021",177.38
"Sunday, January 03, 2021",168.28
"Sunday, January 03, 2021",161.28
"Sunday, January 03, 2021",157.57
"Sunday, January 03, 2021",167.16
"Sunday, January 03, 2021",186.13
"Sunday, January 03, 2021",150.64
"Sunday, January 03, 2021",149.87
"Sunday, January 03, 2021",153.16
"Sunday, January 03, 2021",160.37
"Sunday, January 03, 2021",161.07
"Sunday, January 03, 2021",163.17
"Sunday, January 03, 2021",180.32
"Sunday, January 03, 2021",166.95
"Sunday, January 03, 2021",165.9
"Sunday, January 03, 2021",174.3
"Sunday, January 03, 2021",174.58
"Sunday, January 03, 2021",242.2
"Sunday, January 03, 2021",236.95
"Sunday, January 03, 2021",234.57
"Sunday, January 03, 2021",230.79
"Sunday, January 03, 2021",223.16
"Sunday, January 03, 2021",216.65
"Monday, January 04, 2021",205.8
"Monday, January 04, 2021",188.37
"Monday, January 04, 2021",177.73
"Monday, January 04, 2021",170.87
"Monday, January 04, 2021",168
"Monday, January 04, 2021",173.67
"Monday, January 04, 2021",192.85
"Monday, January 04, 2021",166.74
"Monday, January 04, 2021",157.57
"Monday, January 04, 2021",161.77
"Monday, January 04, 2021",165.9
"Monday, January 04, 2021",168.63
"Monday, January 04, 2021",165.27
"Monday, January 04, 2021",177.03
"Monday, January 04, 2021",170.8
"Monday, January 04, 2021",169.61
"Monday, January 04, 2021",176.89
"Monday, January 04, 2021",173.81
"Monday, January 04, 2021",241.71
"Monday, January 04, 2021",233.73
"Monday, January 04, 2021",225.75
"Monday, January 04, 2021",216.09
"Monday, January 04, 2021",212.1
"Monday, January 04, 2021",204.75
"Tuesday, January 05, 2021",197.47
"Tuesday, January 05, 2021",185.29
"Tuesday, January 05, 2021",176.89
"Tuesday, January 05, 2021",168.42
"Tuesday, January 05, 2021",165.2
"Tuesday, January 05, 2021",168.42
"Tuesday, January 05, 2021",174.79
"Tuesday, January 05, 2021",141.26
"Tuesday, January 05, 2021",142.17
"Tuesday, January 05, 2021",145.32
"Tuesday, January 05, 2021",149.66
"Tuesday, January 05, 2021",161.7
"Tuesday, January 05, 2021",172.69
"Tuesday, January 05, 2021",174.86
"Tuesday, January 05, 2021",162.61
"Tuesday, January 05, 2021",161.56
"Tuesday, January 05, 2021",162.82
"Tuesday, January 05, 2021",158.9
"Tuesday, January 05, 2021",215.32
"Tuesday, January 05, 2021",211.4
"Tuesday, January 05, 2021",206.57
"Tuesday, January 05, 2021",200.69
"Tuesday, January 05, 2021",194.81
"Tuesday, January 05, 2021",187.74
"Wednesday, January 06, 2021",176.61
"Wednesday, January 06, 2021",166.95
"Wednesday, January 06, 2021",160.16
"Wednesday, January 06, 2021",153.09
"Wednesday, January 06, 2021",148.82
"Wednesday, January 06, 2021",151.27
"Wednesday, January 06, 2021",160.3
"Wednesday, January 06, 2021",132.44
"Wednesday, January 06, 2021",138.67
"Wednesday, January 06, 2021",145.46
"Wednesday, January 06, 2021",149.38
"Wednesday, January 06, 2021",154.07
"Wednesday, January 06, 2021",153.79
"Wednesday, January 06, 2021",161.42
"Wednesday, January 06, 2021",160.65
"Wednesday, January 06, 2021",163.66
"Wednesday, January 06, 2021",173.88
"Wednesday, January 06, 2021",164.08
"Wednesday, January 06, 2021",219.8
"Wednesday, January 06, 2021",216.86
"Wednesday, January 06, 2021",210.21
"Wednesday, January 06, 2021",203.56
"Wednesday, January 06, 2021",199.15
"Wednesday, January 06, 2021",190.33
"Thursday, January 07, 2021",181.51
"Thursday, January 07, 2021",170.24
"Thursday, January 07, 2021",156.1
"Thursday, January 07, 2021",154.91
"Thursday, January 07, 2021",151.06
"Thursday, January 07, 2021",156.31
"Thursday, January 07, 2021",171.85
"Thursday, January 07, 2021",142.1
"Thursday, January 07, 2021",147
"Thursday, January 07, 2021",152.25
"Thursday, January 07, 2021",158.9
"Thursday, January 07, 2021",157.92
"Thursday, January 07, 2021",158.06
"Thursday, January 07, 2021",164.78
"Thursday, January 07, 2021",160.72
"Thursday, January 07, 2021",161.91
"Thursday, January 07, 2021",167.58
"Thursday, January 07, 2021",162.89
"Thursday, January 07, 2021",224.63
"Thursday, January 07, 2021",218.33
"Thursday, January 07, 2021",215.46
"Thursday, January 07, 2021",205.87
"Thursday, January 07, 2021",200.27
"Thursday, January 07, 2021",193.9
"Friday, January 08, 2021",180.32
"Friday, January 08, 2021",170.38
"Friday, January 08, 2021",163.1
"Friday, January 08, 2021",156.03
"Friday, January 08, 2021",150.64
"Friday, January 08, 2021",156.45
"Friday, January 08, 2021",168.77
"Friday, January 08, 2021",140
"Friday, January 08, 2021",142.94
"Friday, January 08, 2021",148.61
"Friday, January 08, 2021",153.51
"Friday, January 08, 2021",160.51
"Friday, January 08, 2021",163.38
"Friday, January 08, 2021",155.96
"Friday, January 08, 2021",156.87
"Friday, January 08, 2021",159.46
