Date & Time,Supply, Demand,Mismatch,Daily Supply,Daily Demand ,Daily Mismatch
2021-01-01 00.00,0,109.5,-109.5,1497,2396.25,-899.25
2021-01-01 01.00,0,102.75,-102.75,,,
2021-01-01 02.00,0,97.5,-97.5,,,
2021-01-01 03.00,0,92.25,-92.25,,,
2021-01-01 04.00,0,90,-90,,,
2021-01-01 05.00,0,96,-96,,,
2021-01-01 06.00,0,105.75,-105.75,,,
2021-01-01 07.00,0,87.75,-87.75,,,
2021-01-01 08.00,14,84.75,-70.75,,,
2021-01-01 09.00,150,84,66,,,
2021-01-01 10.00,185,87.75,97.25,,,
2021-01-01 11.00,185,88.5,96.5,,,
2021-01-01 12.00,185,89.25,95.75,,,
2021-01-01 13.00,185,93.75,91.25,,,
2021-01-01 14.00,185,90,95,,,
2021-01-01 15.00,185,89.25,95.75,,,
2021-01-01 16.00,203,93,110,,,
2021-01-01 17.00,20,93,-73,,,
2021-01-01 18.00,0,126.75,-126.75,,,
2021-01-01 19.00,0,124.5,-124.5,,,
2021-01-01 20.00,0,121.5,-121.5,,,
2021-01-01 21.00,0,120,-120,,,
2021-01-01 22.00,0,117,-117,,,
2021-01-01 23.00,0,111.75,-111.75,,,
2021-01-02 00.00,0,106.5,-106.5,1415,2346.75,-931.75
2021-01-02 01.00,0,99.75,-99.75,,,
2021-01-02 02.00,0,93,-93,,,
2021-01-02 03.00,0,87.75,-87.75,,,
2021-01-02 04.00,0,86.25,-86.25,,,
2021-01-02 05.00,0,90.75,-90.75,,,
2021-01-02 06.00,0,102,-102,,,
2021-01-02 07.00,0,83.25,-83.25,,,
2021-01-02 08.00,30,81.75,-51.75,,,
2021-01-02 09.00,110,85.5,24.5,,,
2021-01-02 10.00,110,87.75,22.25,,,
2021-01-02 11.00,220,89.25,130.75,,,
2021-01-02 12.00,220,89.25,130.75,,,
2021-01-02 13.00,220,92.25,127.75,,,
2021-01-02 14.00,220,90.75,129.25,,,
2021-01-02 15.00,165,89.25,75.75,,,
2021-01-02 16.00,100,93,7,,,
2021-01-02 17.00,20,90,-70,,,
2021-01-02 18.00,0,124.5,-124.5,,,
2021-01-02 19.00,0,122.25,-122.25,,,
2021-01-02 20.00,0,120,-120,,,
2021-01-02 21.00,0,117.75,-117.75,,,
2021-01-02 22.00,0,114.75,-114.75,,,
2021-01-02 23.00,0,109.5,-109.5,,,
2021-01-03 00.00,0,101.25,-101.25,1453,2351.3125,-898.3125
2021-01-03 01.00,0,95.25,-95.25,,,
2021-01-03 02.00,0,90,-90,,,
2021-01-03 03.00,0,86.25,-86.25,,,
2021-01-03 04.00,0,84.75,-84.75,,,
2021-01-03 05.00,0,89.25,-89.25,,,
2021-01-03 06.00,1,99.75,-98.75,,,
2021-01-03 07.00,2,81,-79,,,
2021-01-03 08.00,20,80.25,-60.25,,,
2021-01-03 09.00,20,81.75,-61.75,,,
2021-01-03 10.00,80,86.25,-6.25,,,
2021-01-03 11.00,230,86.25,143.75,,,
2021-01-03 12.00,230,87.75,142.25,,,
2021-01-03 13.00,230,93.8125,136.1875,,,
2021-01-03 14.00,230,89.25,140.75,,,
2021-01-03 15.00,230,89.25,140.75,,,
2021-01-03 16.00,160,93.75,66.25,,,
2021-01-03 17.00,20,93.75,-73.75,,,
2021-01-03 18.00,0,129.75,-129.75,,,
2021-01-03 19.00,0,126.75,-126.75,,,
2021-01-03 20.00,0,126,-126,,,
2021-01-03 21.00,0,123.75,-123.75,,,
2021-01-03 22.00,0,119.25,-119.25,,,
2021-01-03 23.00,0,116.25,-116.25,,,
2021-01-04 00.00,0,110.25,-110.25,883,2391.75,-1508.75
2021-01-04 01.00,0,101.25,-101.25,,,
2021-01-04 02.00,0,95.25,-95.25,,,
2021-01-04 03.00,0,91.5,-91.5,,,
2021-01-04 04.00,0,90,-90,,,
2021-01-04 05.00,0,93,-93,,,
2021-01-04 06.00,0,103.5,-103.5,,,
2021-01-04 07.00,0,89.25,-89.25,,,
2021-01-04 08.00,8,84.75,-76.75,,,
2021-01-04 09.00,10,87,-77,,,
2021-01-04 10.00,34,89.25,-55.25,,,
2021-01-04 11.00,65,90,-25,,,
2021-01-04 12.00,163,88.5,74.5,,,
2021-01-04 13.00,182,94.5,87.5,,,
2021-01-04 14.00,182,91.5,90.5,,,
2021-01-04 15.00,119,90.75,28.25,,,
2021-01-04 16.00,80,94.5,-14.5,,,
2021-01-04 17.00,40,93,-53,,,
2021-01-04 18.00,0,129.75,-129.75,,,
2021-01-04 19.00,0,125.25,-125.25,,,
2021-01-04 20.00,0,120.75,-120.75,,,
2021-01-04 21.00,0,115.5,-115.5,,,
2021-01-04 22.00,0,113.25,-113.25,,,
2021-01-04 23.00,0,109.5,-109.5,,,
2021-01-05 00.00,0,105.75,-105.75,1695,2241.75,-546.75
2021-01-05 01.00,0,99,-99,,,
2021-01-05 02.00,0,94.5,-94.5,,,
2021-01-05 03.00,0,90,-90,,,
2021-01-05 04.00,0,88.5,-88.5,,,
2021-01-05 05.00,0,90,-90,,,
2021-01-05 06.00,0,93.75,-93.75,,,
2021-01-05 07.00,0,75.75,-75.75,,,
2021-01-05 08.00,8,76.5,-68.5,,,
2021-01-05 09.00,40,78,-38,,,
2021-01-05 10.00,204,80.25,123.75,,,
2021-01-05 11.00,204,86.25,117.75,,,
2021-01-05 12.00,240,92.25,147.75,,,
2021-01-05 13.00,240,93.75,146.25,,,
2021-01-05 14.00,240,87,153,,,
2021-01-05 15.00,239,86.25,152.75,,,
2021-01-05 16.00,216,87,129,,,
2021-01-05 17.00,64,85.5,-21.5,,,
2021-01-05 18.00,0,115.5,-115.5,,,
2021-01-05 19.00,0,113.25,-113.25,,,
2021-01-05 20.00,0,111,-111,,,
2021-01-05 21.00,0,107.25,-107.25,,,
2021-01-05 22.00,0,104.25,-104.25,,,
2021-01-05 23.00,0,100.5,-100.5,,,
2021-01-06 00.00,0,94.5,-94.5,1824,2170.5,-346.5
2021-01-06 01.00,0,89.25,-89.25,,,
2021-01-06 02.00,0,85.5,-85.5,,,
2021-01-06 03.00,0,81.75,-81.75,,,
2021-01-06 04.00,0,79.5,-79.5,,,
2021-01-06 05.00,0,81,-81,,,
2021-01-06 06.00,0,85.5,-85.5,,,
2021-01-06 07.00,0,71.25,-71.25,,,
2021-01-06 08.00,0,74.25,-74.25,,,
2021-01-06 09.00,92,78,14,,,
2021-01-06 10.00,200,80.25,119.75,,,
2021-01-06 11.00,240,82.5,157.5,,,
2021-01-06 12.00,240,82.5,157.5,,,
2021-01-06 13.00,232,86.25,145.75,,,
2021-01-06 14.00,220,86.25,133.75,,,
2021-01-06 15.00,220,87.75,132.25,,,
2021-01-06 16.00,220,93,127,,,
2021-01-06 17.00,160,87.75,72.25,,,
2021-01-06 18.00,0,117.75,-117.75,,,
2021-01-06 19.00,0,116.25,-116.25,,,
2021-01-06 20.00,0,112.5,-112.5,,,
2021-01-06 21.00,0,108.75,-108.75,,,
2021-01-06 22.00,0,106.5,-106.5,,,
2021-01-06 23.00,0,102,-102,,,
2021-01-07 00.00,0,97.5,-97.5,1435,2216.25,-781.25
2021-01-07 01.00,0,91.5,-91.5,,,
2021-01-07 02.00,0,84,-84,,,
2021-01-07 03.00,0,83.25,-83.25,,,
2021-01-07 04.00,0,81,-81,,,
2021-01-07 05.00,0,84,-84,,,
2021-01-07 06.00,1,92.25,-91.25,,,
2021-01-07 07.00,2,75.75,-73.75,,,
2021-01-07 08.00,24,78.75,-54.75,,,
2021-01-07 09.00,92,81.75,10.25,,,
2021-01-07 10.00,260,84.75,175.25,,,
2021-01-07 11.00,260,84.75,175.25,,,
2021-01-07 12.00,192,84.75,107.25,,,
2021-01-07 13.00,112,88.5,23.5,,,
2021-01-07 14.00,172,86.25,85.75,,,
2021-01-07 15.00,172,87,85,,,
2021-01-07 16.00,112,90,22,,,
2021-01-07 17.00,36,87,-51,,,
2021-01-07 18.00,0,120,-120,,,
2021-01-07 19.00,0,117,-117,,,
2021-01-07 20.00,0,115.5,-115.5,,,
2021-01-07 21.00,0,110.25,-110.25,,,
2021-01-07 22.00,0,107.25,-107.25,,,
2021-01-07 23.00,0,103.5,-103.5,,,
2021-01-08 00.00,0,96.75,-96.75,1992,2237.25,-245.25
2021-01-08 01.00,0,91.5,-91.5,,,
2021-01-08 02.00,0,87,-87,,,
2021-01-08 03.00,0,83.25,-83.25,,,
2021-01-08 04.00,0,81,-81,,,
2021-01-08 05.00,0,84,-84,,,
2021-01-08 06.00,0,90.75,-90.75,,,
2021-01-08 07.00,0,75,-75,,,
2021-01-08 08.00,0,76.5,-76.5,,,
2021-01-08 09.00,0,79.5,-79.5,,,
2021-01-08 10.00,248,82.5,165.5,,,
2021-01-08 11.00,256,86.25,169.75,,,
2021-01-08 12.00,248,87.75,160.25,,,
2021-01-08 13.00,248,83.25,164.75,,,
2021-01-08 14.00,248,84,164,,,
2021-01-08 15.00,248,85.5,162.5,,,
2021-01-08 16.00,248,85.5,162.5,,,
2021-01-08 17.00,248,83.25,164.75,,,
2021-01-08 18.00,0,125.25,-125.25,,,
2021-01-08 19.00,0,124.5,-124.5,,,
2021-01-08 20.00,0,119.25,-119.25,,,
2021-01-08 21.00,0,116.25,-116.25,,,
2021-01-08 22.00,0,113.25,-113.25,,,
2021-01-08 23.00,0,115.5,-115.5,,,
2021-01-09 00.00,0,102.75,-102.75,1053,2326.5,-1273.5
2021-01-09 01.00,0,96.75,-96.75,,,
2021-01-09 02.00,0,92.25,-92.25,,,
2021-01-09 03.00,0,87,-87,,,
2021-01-09 04.00,0,84,-84,,,
2021-01-09 05.00,0,87,-87,,,
2021-01-09 06.00,0,93,-93,,,
2021-01-09 07.00,0,80.25,-80.25,,,
2021-01-09 08.00,9,82.5,-73.5,,,
2021-01-09 09.00,60,84,-24,,,
2021-01-09 10.00,60,85.5,-25.5,,,
2021-01-09 11.00,160,85.5,74.5,,,
2021-01-09 12.00,160,87,73,,,
2021-01-09 13.00,224,93,131,,,
2021-01-09 14.00,145,89.25,55.75,,,
2021-01-09 15.00,125,88.5,36.5,,,
2021-01-09 16.00,80,93,-13,,,
2021-01-09 17.00,30,93,-63,,,
2021-01-09 18.00,0,128.25,-128.25,,,
2021-01-09 19.00,0,126,-126,,,
2021-01-09 20.00,0,123,-123,,,
2021-01-09 21.00,0,118.5,-118.5,,,
2021-01-09 22.00,0,115.5,-115.5,,,
2021-01-09 23.00,0,111,-111,,,
2021-01-10 00.00,0,103.5,-103.5,1333,2350.5,-1017.5
2021-01-10 01.00,0,98.25,-98.25,,,
2021-01-10 02.00,0,92.25,-92.25,,,
2021-01-10 03.00,0,87.75,-87.75,,,
2021-01-10 04.00,0,85.5,-85.5,,,
2021-01-10 05.00,0,87.75,-87.75,,,
2021-01-10 06.00,0,93.75,-93.75,,,
2021-01-10 07.00,0,81.75,-81.75,,,
2021-01-10 08.00,7,83.25,-76.25,,,
2021-01-10 09.00,139,86.25,52.75,,,
2021-01-10 10.00,139,88.5,50.5,,,
2021-01-10 11.00,139,87.75,51.25,,,
2021-01-10 12.00,139,87.75,51.25,,,
2021-01-10 13.00,202,93,109,,,
2021-01-10 14.00,194,90.75,103.25,,,
2021-01-10 15.00,185,88.5,96.5,,,
2021-01-10 16.00,177,92.25,84.75,,,
2021-01-10 17.00,12,92.25,-80.25,,,
2021-01-10 18.00,0,126.75,-126.75,,,
2021-01-10 19.00,0,127.5,-127.5,,,
2021-01-10 20.00,0,124.5,-124.5,,,
2021-01-10 21.00,0,120,-120,,,
2021-01-10 22.00,0,117,-117,,,
2021-01-10 23.00,0,114,-114,,,
2021-01-11 00.00,0,108.75,-108.75,1757,2421,-664
2021-01-11 01.00,0,102,-102,,,
2021-01-11 02.00,0,93.75,-93.75,,,
2021-01-11 03.00,0,89.25,-89.25,,,
2021-01-11 04.00,0,87.75,-87.75,,,
2021-01-11 05.00,0,90.75,-90.75,,,
2021-01-11 06.00,0,97.5,-97.5,,,
2021-01-11 07.00,0,82.5,-82.5,,,
2021-01-11 08.00,0,85.5,-85.5,,,
2021-01-11 09.00,103,87.75,15.25,,,
2021-01-11 10.00,210,89.25,120.75,,,
2021-01-11 11.00,210,91.5,118.5,,,
2021-01-11 12.00,228,92.25,135.75,,,
2021-01-11 13.00,229,97.5,131.5,,,
2021-01-11 14.00,229,94.5,134.5,,,
2021-01-11 15.00,229,92.25,136.75,,,
2021-01-11 16.00,229,96,133,,,
2021-01-11 17.00,90,94.5,-4.5,,,
2021-01-11 18.00,0,132.75,-132.75,,,
2021-01-11 19.00,0,129.75,-129.75,,,
2021-01-11 20.00,0,125.25,-125.25,,,
2021-01-11 21.00,0,121.5,-121.5,,,
2021-01-11 22.00,0,120.75,-120.75,,,
2021-01-11 23.00,0,117.75,-117.75,,,
2021-01-12 00.00,0,112.5,-112.5,2035,2414.25,-379.25
2021-01-12 01.00,0,107.25,-107.25,,,
2021-01-12 02.00,0,100.5,-100.5,,,
2021-01-12 03.00,0,95.25,-95.25,,,
2021-01-12 04.00,0,93,-93,,,
2021-01-12 05.00,0,94.5,-94.5,,,
2021-01-12 06.00,0,101.25,-101.25,,,
2021-01-12 07.00,0,81,-81,,,
2021-01-12 08.00,13,78.75,-65.75,,,
2021-01-12 09.00,140,84.75,55.25,,,
2021-01-12 10.00,251,86.25,164.75,,,
2021-01-12 11.00,257,91.5,165.5,,,
2021-01-12 12.00,257,100.5,156.5,,,
2021-01-12 13.00,241,100.5,140.5,,,
2021-01-12 14.00,242,93.75,148.25,,,
2021-01-12 15.00,247,90,157,,,
2021-01-12 16.00,248,91.5,156.5,,,
2021-01-12 17.00,139,89.25,49.75,,,
2021-01-12 18.00,0,126.75,-126.75,,,
2021-01-12 19.00,0,123.75,-123.75,,,
2021-01-12 20.00,0,121.5,-121.5,,,
2021-01-12 21.00,0,119.25,-119.25,,,
2021-01-12 22.00,0,117.75,-117.75,,,
2021-01-12 23.00,0,113.25,-113.25,,,
2021-01-13 00.00,0,111,-111,1706,2421.75,-715.75
2021-01-13 01.00,0,105.75,-105.75,,,
2021-01-13 02.00,0,101.25,-101.25,,,
2021-01-13 03.00,0,96,-96,,,
2021-01-13 04.00,0,92.25,-92.25,,,
2021-01-13 05.00,0,94.5,-94.5,,,
2021-01-13 06.00,0,101.25,-101.25,,,
2021-01-13 07.00,0,84,-84,,,
2021-01-13 08.00,40,86.25,-46.25,,,
2021-01-13 09.00,152,85.5,66.5,,,
2021-01-13 10.00,268,87.75,180.25,,,
2021-01-13 11.00,268,88.5,179.5,,,
2021-01-13 12.00,268,90.75,177.25,,,
2021-01-13 13.00,268,96.75,171.25,,,
2021-01-13 14.00,144,92.25,51.75,,,
2021-01-13 15.00,144,92.25,51.75,,,
2021-01-13 16.00,58,95.25,-37.25,,,
2021-01-13 17.00,48,91.5,-43.5,,,
2021-01-13 18.00,48,126,-78,,,
2021-01-13 19.00,0,126,-126,,,
2021-01-13 20.00,0,123.75,-123.75,,,
2021-01-13 21.00,0,119.25,-119.25,,,
2021-01-13 22.00,0,119.25,-119.25,,,
2021-01-13 23.00,0,114.75,-114.75,,,
2021-01-14 00.00,0,111.75,-111.75,1008,2414.25,-1406.25
2021-01-14 01.00,0,105.75,-105.75,,,
2021-01-14 02.00,0,99,-99,,,
2021-01-14 03.00,0,94.5,-94.5,,,
2021-01-14 04.00,0,91.5,-91.5,,,
2021-01-14 05.00,0,93.75,-93.75,,,
2021-01-14 06.00,0,101.25,-101.25,,,
2021-01-14 07.00,0,86.25,-86.25,,,
2021-01-14 08.00,68,88.5,-20.5,,,
2021-01-14 09.00,68,90,-22,,,
2021-01-14 10.00,60,90,-30,,,
2021-01-14 11.00,164,90.75,73.25,,,
2021-01-14 12.00,144,90,54,,,
2021-01-14 13.00,112,96,16,,,
2021-01-14 14.00,68,93,-25,,,
2021-01-14 15.00,84,91.5,-7.5,,,
2021-01-14 16.00,120,93.75,26.25,,,
2021-01-14 17.00,120,91.5,28.5,,,
2021-01-14 18.00,0,121.5,-121.5,,,
2021-01-14 19.00,0,123.75,-123.75,,,
2021-01-14 20.00,0,122.25,-122.25,,,
2021-01-14 21.00,0,117.75,-117.75,,,
2021-01-14 22.00,0,117,-117,,,
2021-01-14 23.00,0,113.25,-113.25,,,
2021-01-15 00.00,0,108,-108,1707,2365.5,-658.5
2021-01-15 01.00,0,103.5,-103.5,,,
2021-01-15 02.00,0,98.25,-98.25,,,
2021-01-15 03.00,0,93,-93,,,
2021-01-15 04.00,0,90.75,-90.75,,,
2021-01-15 05.00,0,93,-93,,,
2021-01-15 06.00,0,100.5,-100.5,,,
2021-01-15 07.00,0,85.5,-85.5,,,
2021-01-15 08.00,0,87,-87,,,
2021-01-15 09.00,0,87,-87,,,
2021-01-15 10.00,267,88.5,178.5,,,
2021-01-15 11.00,24,87.75,-63.75,,,
2021-01-15 12.00,260,89.25,170.75,,,
2021-01-15 13.00,260,93,167,,,
2021-01-15 14.00,260,90,170,,,
2021-01-15 15.00,260,90.75,169.25,,,
2021-01-15 16.00,240,92.25,147.75,,,
2021-01-15 17.00,136,90,46,,,
2021-01-15 18.00,0,118.5,-118.5,,,
2021-01-15 19.00,0,120.75,-120.75,,,
2021-01-15 20.00,0,118.5,-118.5,,,
2021-01-15 21.00,0,116.25,-116.25,,,
2021-01-15 22.00,0,113.25,-113.25,,,
2021-01-15 23.00,0,110.25,-110.25,,,
2021-01-16 00.00,0,105.75,-105.75,2056,2348.25,-292.25
2021-01-16 01.00,0,99.75,-99.75,,,
2021-01-16 02.00,0,96,-96,,,
2021-01-16 03.00,0,90.75,-90.75,,,
2021-01-16 04.00,0,88.5,-88.5,,,
2021-01-16 05.00,0,91.5,-91.5,,,
2021-01-16 06.00,0,97.5,-97.5,,,
2021-01-16 07.00,0,82.5,-82.5,,,
2021-01-16 08.00,0,84.75,-84.75,,,
2021-01-16 09.00,160,86.25,73.75,,,
2021-01-16 10.00,260,86.25,173.75,,,
2021-01-16 11.00,260,85.5,174.5,,,
2021-01-16 12.00,248,87,161,,,
2021-01-16 13.00,248,91.5,156.5,,,
2021-01-16 14.00,248,89.25,158.75,,,
2021-01-16 15.00,248,88.5,159.5,,,
2021-01-16 16.00,248,91.5,156.5,,,
2021-01-16 17.00,136,90,46,,,
2021-01-16 18.00,0,121.5,-121.5,,,
2021-01-16 19.00,0,123.75,-123.75,,,
2021-01-16 20.00,0,121.5,-121.5,,,
2021-01-16 21.00,0,119.25,-119.25,,,
2021-01-16 22.00,0,116.25,-116.25,,,
2021-01-16 23.00,0,113.25,-113.25,,,
2021-01-17 00.00,0,107.25,-107.25,1934,2379.75,-445.75
2021-01-17 01.00,0,102,-102,,,
2021-01-17 02.00,0,97.5,-97.5,,,
2021-01-17 03.00,0,92.25,-92.25,,,
2021-01-17 04.00,0,90,-90,,,
2021-01-17 05.00,0,91.5,-91.5,,,
2021-01-17 06.00,0,99,-99,,,
2021-01-17 07.00,0,83.25,-83.25,,,
2021-01-17 08.00,28,84,-56,,,
2021-01-17 09.00,108,87.75,20.25,,,
2021-01-17 10.00,273,88.5,184.5,,,
2021-01-17 11.00,273,89.25,183.75,,,
2021-01-17 12.00,173,88.5,84.5,,,
2021-01-17 13.00,173,94.5,78.5,,,
2021-01-17 14.00,173,91.5,81.5,,,
2021-01-17 15.00,283,90.75,192.25,,,
2021-01-17 16.00,225,93,132,,,
2021-01-17 17.00,225,91.5,133.5,,,
2021-01-17 18.00,0,125.25,-125.25,,,
2021-01-17 19.00,0,124.5,-124.5,,,
2021-01-17 20.00,0,120.75,-120.75,,,
2021-01-17 21.00,0,119.25,-119.25,,,
2021-01-17 22.00,0,114.75,-114.75,,,
2021-01-17 23.00,0,113.25,-113.25,,,
2021-01-18 00.00,0,105,-105,2153,2328.75,-175.75
2021-01-18 01.00,0,101.25,-101.25,,,
2021-01-18 02.00,0,95.25,-95.25,,,
2021-01-18 03.00,0,90.75,-90.75,,,
2021-01-18 04.00,0,87,-87,,,
2021-01-18 05.00,0,90,-90,,,
2021-01-18 06.00,0,95.25,-95.25,,,
2021-01-18 07.00,0,81,-81,,,
2021-01-18 08.00,46,84.75,-38.75,,,
2021-01-18 09.00,164,89.25,74.75,,,
2021-01-18 10.00,253,88.5,164.5,,,
2021-01-18 11.00,272,89.25,182.75,,,
2021-01-18 12.00,272,87.75,184.25,,,
2021-01-18 13.00,272,93.75,178.25,,,
2021-01-18 14.00,272,90,182,,,
2021-01-18 15.00,272,89.25,182.75,,,
2021-01-18 16.00,198,91.5,106.5,,,
2021-01-18 17.00,132,90.75,41.25,,,
2021-01-18 18.00,0,119.25,-119.25,,,
2021-01-18 19.00,0,122.25,-122.25,,,
2021-01-18 20.00,0,116.25,-116.25,,,
2021-01-18 21.00,0,113.25,-113.25,,,
2021-01-18 22.00,0,110.25,-110.25,,,
2021-01-18 23.00,0,107.25,-107.25,,,
2021-01-19 00.00,0,100.5,-100.5,1991,2200.5,-209.5
2021-01-19 01.00,0,99,-99,,,
2021-01-19 02.00,0,94.5,-94.5,,,
2021-01-19 03.00,0,90,-90,,,
2021-01-19 04.00,0,86.25,-86.25,,,
