-BEGIN HEADER-,,,,,,,,,,,,
NASA/POWER Source Native Resolution Hourly Data ,,,,,,,,,,,,
Dates (month/day/year): 01/01/2021 through 12/31/2021 in LST,,,,,,,,,,,,
Location: Latitude  29.7807   Longitude 40.0982 ,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 685.2 meters,,,,,,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) ,,,,,,,,,,,,
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (W m-2 x 40) ,,,,,,,,,,,,
T2M                     MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/hour) ,,,,,,,,,,,,
ALLSKY_KT               CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) ,,,,,,,,,,,,
CLRSKY_SFC_PAR_TOT      CERES SYN1deg Clear Sky Surface Total PAR (Wh/m^2) ,,,,,,,,,,,,
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) ,,,,,,,,,,,,
PS                      MERRA-2 Surface Pressure (kPa) ,,,,,,,,,,,,
PSC                     MERRA-2 Corrected Atmospheric Pressure (Adjusted For Site Elevation) (kPa) ,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_UV_INDEX,T2M,PRECTOTCORR,ALLSKY_KT,CLRSKY_SFC_PAR_TOT,RH2M,PS,PSC
2021,1,1,0,0,0,8.03,1.94,-999,0,92.95,94,102.09
2021,1,1,1,0,0,8.02,1.78,-999,0,92.87,94,102.09
2021,1,1,2,0,0,8.03,1.54,-999,0,92.67,94,102.09
2021,1,1,3,0,0,8,0.1,-999,0,92.56,93.98,102.08
2021,1,1,4,0,0,7.92,0.08,-999,0,92.51,93.98,102.08
2021,1,1,5,0,0,7.86,0.07,-999,0,92.48,94,102.1
2021,1,1,6,0,0,7.71,0.07,-999,0,92.75,94.03,102.15
2021,1,1,7,22.27,0.03,7.6,0.07,0.31,9.38,92.79,94.08,102.2
2021,1,1,8,170.07,0.22,8.14,0.06,0.52,74.74,89.49,94.15,102.26
2021,1,1,9,351.33,1,9.14,0,0.63,154.07,84.07,94.2,102.28
2021,1,1,10,502.05,2.15,10.96,0,0.69,220.55,74.52,94.19,102.22
2021,1,1,11,593.85,3.08,12.8,0,0.72,261.63,65.86,94.13,102.1
2021,1,1,12,608.62,3.22,14.02,0,0.71,267.22,61.14,94.04,101.97
2021,1,1,13,565.95,2.78,14.98,0,0.7,247.83,57.5,93.97,101.86
2021,1,1,14,464.91,-999,15.43,0,0.68,215.98,55.49,93.92,101.79
2021,1,1,15,298.67,0.73,15.27,0,0.6,129.53,55.89,93.92,101.8
2021,1,1,16,123.18,0.1,14.07,0,0.48,52.48,61.35,93.96,101.88
2021,1,1,17,7.43,0,11.09,0,0.27,2.92,74.33,94.04,102.05
2021,1,1,18,0,0,10.6,0,-999,0,76.64,94.13,102.16
2021,1,1,19,0,0,10.29,0,-999,0,78.04,94.18,102.22
2021,1,1,20,0,0,9.52,0,-999,0,81.79,94.17,102.24
2021,1,1,21,0,0,8.22,0,-999,0,88.74,94.16,102.27
2021,1,1,22,0,0,7.31,0,-999,0,93.84,94.16,102.3
2021,1,1,23,0,0,6.57,0,-999,0,97.95,94.15,102.31
2021,1,2,0,0,0,5.97,0,-999,0,100,94.15,102.32
2021,1,2,1,0,0,5.44,0,-999,0,100,94.16,102.35
2021,1,2,2,0,0,4.94,0,-999,0,100,94.17,102.37
2021,1,2,3,0,0,4.94,0,-999,0,100,94.16,102.36
2021,1,2,4,0,0,5.26,0,-999,0,100,94.14,102.33
2021,1,2,5,0,0,5.31,0,-999,0,99.13,94.15,102.35
2021,1,2,6,0,0,4.68,0,-999,0,100,94.21,102.43
2021,1,2,7,22.77,0.03,4.77,0,0.32,9.65,100,94.26,102.48
2021,1,2,8,159.95,0.25,6.7,0,0.49,77.83,87.74,94.31,102.48
2021,1,2,9,327.73,1.15,8.79,0,0.59,158.65,76.36,94.33,102.44
2021,1,2,10,500.05,2.42,11.79,0,0.69,225.4,63,94.29,102.31
2021,1,2,11,599.1,3.47,14.64,0,0.72,266.63,55.86,94.21,102.14
2021,1,2,12,603.35,3.55,16.7,0,0.71,268.45,52.62,94.12,101.98
2021,1,2,13,559.83,3.05,17.64,0,0.69,248.95,51.18,94.06,101.89
2021,1,2,14,453.42,1.98,17.81,0,0.66,200.75,51.79,94.02,101.84
2021,1,2,15,293.65,0.82,17.44,0,0.59,129.88,53.99,94.02,101.85
2021,1,2,16,114.07,0.12,16.28,0,0.44,51.28,59.19,94.05,101.92
2021,1,2,17,7.43,0,14.03,0,0.26,3.08,67.3,94.08,102.01
2021,1,2,18,0,0,13.31,0,-999,0,68.51,94.14,102.1
2021,1,2,19,0,0,12.39,0,-999,0,70.5,94.18,102.16
2021,1,2,20,0,0,11.39,0,-999,0,73.21,94.19,102.21
2021,1,2,21,0,0,10.54,0,-999,0,75.8,94.18,102.22
2021,1,2,22,0,0,9.72,0,-999,0,78.82,94.16,102.23
2021,1,2,23,0,0,9.01,0,-999,0,82.16,94.16,102.25
2021,1,3,0,0,0,8.88,0,-999,0,82.87,94.15,102.23
2021,1,3,1,0,0,8.55,0,-999,0,84.99,94.13,102.22
2021,1,3,2,0,0,7.72,0,-999,0,90.62,94.11,102.22
2021,1,3,3,0,0,7.12,0,-999,0,94.98,94.07,102.21
2021,1,3,4,0,0,7.15,0,-999,0,95.36,94.06,102.19
